no,tanggal,bulan,hari,keterangan,sumber_info,waktu_info,kelurahan,kecamatan,wilayah,objek_awal,jenis_bangunan,penyebab,korban_jiwa,kerugian
14,7,1,Senin,Bencana Kebakaran,Masyarakat,19:11,Semanan,Kalideres,Kota Administrasi Jakarta Barat,Warung,Bangunan Rendah,Listrik,0,1000000
15,8,1,Selasa,Bencana Kebakaran,Masyarakat,11:00,Menteng Dalam,Tebet,Kota Administrasi Jakarta Selatan,Filter Air,Bangunan Tinggi,Lain,0,10000000
16,8,1,Selasa,Bencana Kebakaran,Masyarakat,17:30,Tangerang,Tangerang,Kota Tangerang,Rumah Tinggal,Bangunan Rendah,Listrik,2,250000000
17,8,1,Selasa,Bencana Kebakaran,Petugas Pemadam,8:30,Mangga Dua Selatan,Sawah Besar,Kota Administrasi Jakarta Pusat,Pompa Air,Bangunan Rendah,Lain,0,25000000
18,8,1,Selasa,Bencana Kebakaran,Masyarakat,20:30,Pasar Baru,Sawah Besar,Kota Administrasi Jakarta Pusat,Bangunan Pertokoan,Bangunan Menengah,Listrik,0,3500000000
19,9,1,Rabu,Bencana Kebakaran,Masyarakat,16:20,Makasar,Makasar,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,5,25000000
20,9,1,Rabu,Bencana Kebakaran,Masyarakat,20:25,Pademangan Barat,Pademangan,Kota Administrasi Jakarta Utara,Gedung WTC Mangga Dua,Bangunan Tinggi,Listrik,0,100000000
21,9,1,Rabu,Bencana Kebakaran,Masyarakat,12:38,Ciracas,Ciracas,Kota Administrasi Jakarta Timur,Percetakan,Bangunan Menengah,Listrik,0,30000000
23,9,1,Rabu,Bencana Kebakaran,Masyarakat,1:50,Kapuk,Cengkareng,Kota Administrasi Jakarta Barat,Lapak Pemulung,Bangunan Rendah,Listrik,60,650000000
25,10,1,Kamis,Bencana Kebakaran,Masyarakat,14:50,Kedoya Selatan,Kebun Jeruk,Kota Administrasi Jakarta Barat,Mobil Carry,,Listrik,0,50000000
26,10,1,Kamis,Bencana Kebakaran,Masyarakat,13:45,Kalisari,Pasar Rebo,Kota Administrasi Jakarta Timur,Ruko,Bangunan Rendah,Listrik,5,100000000
27,10,1,Kamis,Bencana Kebakaran,Masyarakat,15:10,Sunter Agung,Tanjung Priok,Kota Administrasi Jakarta Utara,Bedeng,Bangunan Rendah,Listrik,0,30000000
63,11,1,Jumat,Bencana Kebakaran,Petugas Instansi Lain,22:35,Cipinang Besar Utara,Jatinegara,Kota Administrasi Jakarta Timur,Lapas Cipinang,Bangunan Menengah,Listrik,0,480000000
67,12,1,Sabtu,Bencana Kebakaran,Masyarakat,1:00,Cengkareng Barat,Cengkareng,Kota Administrasi Jakarta Barat,Kabel Telkom,Bangunan Rendah,Listrik,0,10000000
68,12,1,Sabtu,Bencana Kebakaran,Alarm Kota,8:40,Kalibata,Pancoran,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,2,5000000
71,13,1,Minggu,Bencana Kebakaran,Masyarakat,10:25,Penggilingan,Cakung,Kota Administrasi Jakarta Timur,Motor,Bangunan Rendah,Lain,0,250000000
72,13,1,Minggu,Bencana Kebakaran,Masyarakat,10:00,Pisangan timur,Pulogadung,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,0,2000000
75,14,1,Senin,Bencana Kebakaran,Masyarakat,5:30,Pluit,Penjaringan,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,0,10000000
76,14,1,Senin,Bencana Kebakaran,Masyarakat,1:00,Bambu Apus,Cipayung,Kota Administrasi Jakarta Timur,Mobil Opel Blazer,,Listrik,0,95000000
77,15,1,Selasa,Bencana Kebakaran,Petugas Pemadam,22:45,Keagungan,Tamansari,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,65,700000000
78,15,1,Selasa,Bencana Kebakaran,Masyarakat,15:00,Cipete Selatan,Cilandak,Kota Administrasi Jakarta Selatan,Gedung Studio Duta Bangsa,Bangunan Menengah,Listrik,0,1000000000
79,15,1,Selasa,Bencana Kebakaran,Masyarakat,4:05,Rawamangun,Pulogadung,Kota Administrasi Jakarta Timur,Show Room,Bangunan Menengah,Listrik,0,200000000
80,15,1,Selasa,Bencana Kebakaran,Petugas Pemadam,16:00,Tambora,Tambora,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,60,1100000000
99,16,1,Rabu,Bencana Kebakaran,Masyarakat,21:40,Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,Gardu listrik,Bangunan Rendah,Listrik,0,500000000
100,16,1,Rabu,Bencana Kebakaran,Masyarakat,17:10,Kebayoran Lama Selatan,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Mobil Suzuki Katana,,Listrik,0,1000000
101,16,1,Rabu,Bencana Kebakaran,Masyarakat,21:13,Cengkareng Timur,Cengkareng,Kota Administrasi Jakarta Barat,Toko Klontong,Bangunan Rendah,Lain,12,50000000
102,16,1,Rabu,Bencana Kebakaran,Masyarakat,21:55,Lebak Bulus,Cilandak,Kota Administrasi Jakarta Selatan,Pabrik Tahu,Bangunan Rendah,Lain,0,3000000
112,17,1,Kamis,Bencana Kebakaran,Petugas Instansi Lain,0:15,Bidara Cina,Jatinegara,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Lain,4,60000000
114,17,1,Kamis,Bencana Kebakaran,Masyarakat,7:30,gondangdia,Menteng,Kota Administrasi Jakarta Pusat,Ruangan caffe fisa,Bangunan Rendah,Listrik,0,20000000
115,17,1,Kamis,Bencana Kebakaran,Masyarakat,9:00,Gunung Sahari Utara,Sawah Besar,Kota Administrasi Jakarta Pusat,Ruang Istirahat,Bangunan Rendah,Listrik,0,100000000
116,17,1,Kamis,Bencana Kebakaran,Masyarakat,21:01,Cengkareng Barat,Cengkareng,Kota Administrasi Jakarta Barat,Rumah Tinggal,,Listrik,0,15000000
117,17,1,Kamis,Bencana Kebakaran,Masyarakat,17:00,Pinangsia,Tamansari,Kota Administrasi Jakarta Barat,Ruko 4 Lantai,,Listrik,0,10000000
118,17,1,Kamis,Bencana Kebakaran,Masyarakat,18:30,Bendungan Hilir,Tanah Abang,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Lain,0,600000000
119,17,1,Kamis,Bencana Kebakaran,Masyarakat,13:35,Pisangan Baru,Matraman,Kota Administrasi Jakarta Timur,Instalasi Listrik atas plafon,Bangunan Rendah,Listrik,4,50000000
121,17,1,Kamis,Bencana Kebakaran,Masyarakat,15:15,Lubang Buaya,Cipayung,Kota Administrasi Jakarta Timur,Mesin Cuci,Bangunan Rendah,Listrik,4,20000000
230,18,1,Jumat,Bencana Kebakaran,Petugas Instansi Lain,9:55,Gunung Sahari Selatan,Kemayoran,Kota Administrasi Jakarta Pusat,Kendaraan,,Listrik,0,40000000
231,18,1,Jumat,Bencana Kebakaran,Masyarakat,22:45,Kalibaru,Cilincing,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,9,100000000
232,18,1,Jumat,Bencana Kebakaran,Masyarakat,3:45,Halim Perdana Kusuma,Makasar,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,5,490000000
234,18,1,Jumat,Bencana Kebakaran,Petugas Instansi Lain,18:25,Grogol,Grogol Petamburan,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Lain,0,1000000
235,18,1,Jumat,Bencana Kebakaran,Masyarakat,11:10,Cawang,Kramat Jati,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Lain,70,950000000
236,18,1,Jumat,Bencana Kebakaran,Masyarakat,1:01,Tanah Sereal,Tambora,Kota Administrasi Jakarta Barat,Rumah Tinggal,,Listrik,0,10000000
237,18,1,Jumat,Bencana Kebakaran,Petugas Instansi Lain,20:00,Kapuk,Cengkareng,Kota Administrasi Jakarta Barat,Rumah Tinggal Petak,Bangunan Rendah,Lampu,4,100000000
382,19,1,Sabtu,Bencana Kebakaran,Masyarakat,9:20,Pejagalan,Penjaringan,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Lain,3,10000000
383,19,1,Sabtu,Bencana Kebakaran,Masyarakat,21:25,Jelambar,Grogol Petamburan,Kota Administrasi Jakarta Barat,Genset,,Listrik,0,15000000
384,19,1,Sabtu,Bencana Kebakaran,Masyarakat,11:00,Jembatan Besi,Tambora,Kota Administrasi Jakarta Barat,Rumah Tinggal,,Listrik,0,15000000
385,19,1,Sabtu,Bencana Kebakaran,Masyarakat,11:01,Pela Mampang,Mampang Prapatan,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Lain,12,500000000
399,20,1,Minggu,Bencana Kebakaran,Masyarakat,18:30,Kota Bambu Utara,Palmerah,Kota Administrasi Jakarta Barat,Kios,,Listrik,0,500000000
400,20,1,Minggu,Bencana Kebakaran,Masyarakat,19:15,Kuningan Timur,Setiabudi,Kota Administrasi Jakarta Selatan,Mobil,,Listrik,0,75000000
428,21,1,Senin,Bencana Kebakaran,Masyarakat,19:35,Kota Bambu Utara,Palmerah,Kota Administrasi Jakarta Barat,Motor Terbakar,,Listrik,0,15000000
429,21,1,Senin,Bencana Kebakaran,Masyarakat,13:45,Kembangan Utara,Kembangan,Kota Administrasi Jakarta Barat,Mobil Terbakar,,Listrik,0,120000000
436,22,1,Selasa,Bencana Kebakaran,Petugas Pemadam,19:30,Pademangan Barat,Pademangan,Kota Administrasi Jakarta Utara,Mobil Suzuki Apv,,Listrik,0,75000000
437,22,1,Selasa,Bencana Kebakaran,Masyarakat,3:50,Sumur Batu,Kemayoran,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,10,20000000
445,23,1,Rabu,Bencana Kebakaran,Petugas Pemadam,19:10,Kebon Kacang,Tanah Abang,Kota Administrasi Jakarta Pusat,Kompor Warung,Bangunan Rendah,Kompor,0,500000000
446,24,1,Kamis,Bencana Kebakaran,Masyarakat,2:25,Pejagalan,Penjaringan,Kota Administrasi Jakarta Utara,Lilin,Bangunan Rendah,Lain,10,200000000
452,25,1,Jumat,Bencana Kebakaran,Masyarakat,8:35,Kamal Muara,Penjaringan,Kota Administrasi Jakarta Utara,Gudang Furniture,Bangunan Menengah,Listrik,0,1000000000
453,25,1,Jumat,Bencana Kebakaran,Masyarakat,12:55,Kemayoran,Kemayoran,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,5,50000000
462,28,1,Senin,Bencana Kebakaran,Masyarakat,2:15,Cawang,Kramat Jati,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Lain,3,400000000
463,28,1,Senin,Bencana Kebakaran,Masyarakat,13:00,Manggarai,Tebet,Kota Administrasi Jakarta Selatan,Bengkel Motor,Bangunan Rendah,Listrik,0,60000000
464,28,1,Senin,Bencana Kebakaran,Masyarakat,22:00,Bungur,Senen,Kota Administrasi Jakarta Pusat,Cerobong PT Remanta,,Lain,0,5000000
466,28,1,Senin,Bencana Kebakaran,Masyarakat,18:50,Jelambar Baru,Grogol Petamburan,Kota Administrasi Jakarta Barat,Rumah Kontrakan,Bangunan Rendah,Listrik,3,10000000
468,29,1,Selasa,Bencana Kebakaran,Petugas Pemadam,22:00,Cideng,Gambir,Kota Administrasi Jakarta Pusat,Pertokoan,Bangunan Rendah,Listrik,0,20000000
469,29,1,Selasa,Bencana Kebakaran,Masyarakat,22:50,Grogol Selatan,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,7,10000000
471,30,1,Rabu,Bencana Kebakaran,Masyarakat,23:00,Bungur,Senen,Kota Administrasi Jakarta Pusat,Gedung,Bangunan Tinggi,Listrik,0,10000000
473,31,1,Kamis,Bencana Kebakaran,Masyarakat,2:53,Kalisari,Pasar Rebo,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,2,20000000
475,1,2,Jumat,Bencana Kebakaran,Masyarakat,4:20,Meruya Selatan,Kembangan,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,11,100000000
476,1,2,Jumat,Bencana Kebakaran,Masyarakat,4:40,Kalideres,Kalideres,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,5,150000000
477,1,2,Jumat,Bencana Kebakaran,Masyarakat,10:15,Tangerang,Tangerang,Kota Tangerang,Rumah Kontrakan,Bangunan Rendah,Listrik,6,90000000
479,3,2,Minggu,Bencana Kebakaran,Masyarakat,15:00,Kampung Tengah,Kramat Jati,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,5,20000000
487,4,2,Senin,Bencana Kebakaran,Masyarakat,16:45,Sukapura,Cilincing,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,3,40000000
488,4,2,Senin,Bencana Kebakaran,Petugas Instansi Lain,15:24,Duren Sawit,Duren Sawit,Kota Administrasi Jakarta Timur,Alat Pemecah Awan,,Lain,0,30000000
493,6,2,Rabu,Bencana Kebakaran,Petugas Instansi Lain,15:20,Senayan,Kebayoran Baru,Kota Administrasi Jakarta Selatan,Bengkel Kafe,Bangunan Menengah,Listrik,0,1000000000
495,6,2,Rabu,Bencana Kebakaran,Petugas Pemadam,10:30,Mangga Besar,Tamansari,Kota Administrasi Jakarta Barat,Ruko,Bangunan Menengah,Listrik,0,1750000000
496,6,2,Rabu,Bencana Kebakaran,Masyarakat,21:00,Kebagusan,Pasar Minggu,Kota Administrasi Jakarta Selatan,Kabel PLN,,Listrik,0,1000000
498,7,2,Kamis,Bencana Kebakaran,Petugas Instansi Lain,17:30,Duri Selatan,Tambora,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,40,750000000
499,8,2,Jumat,Bencana Kebakaran,Petugas Pemadam,2:45,Pluit,Penjaringan,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,0,450000000
500,9,2,Sabtu,Bencana Kebakaran,Petugas Instansi Lain,2:10,Pasar Baru,Sawah Besar,Kota Administrasi Jakarta Pusat,Mobil,,Lain,0,100000000
501,9,2,Sabtu,Bencana Kebakaran,Masyarakat,3:20,Klender,Duren Sawit,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,10,200000000
502,9,2,Sabtu,Bencana Kebakaran,Masyarakat,7:13,Cempaka Putih Barat,Cempaka Putih,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,4,20000000
504,9,2,Sabtu,Bencana Kebakaran,Masyarakat,21:55,Gunung,Kebayoran Baru,Kota Administrasi Jakarta Selatan,Mobil Taxi,,Listrik,0,10000000
505,9,2,Sabtu,Bencana Kebakaran,Masyarakat,11:10,Kapuk,Cengkareng,Kota Administrasi Jakarta Barat,Gudang Ikan Asin,Bangunan Rendah,Listrik,0,30000000
506,9,2,Sabtu,Bencana Kebakaran,Masyarakat,19:05,Duri Kosambi,Cengkareng,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,3,35000000
511,9,2,Sabtu,Bencana Kebakaran,Masyarakat,18:48,Cilandak Barat,Cilandak,Kota Administrasi Jakarta Selatan,Kabel PLN,,Listrik,0,3000000
519,10,2,Minggu,Bencana Kebakaran,Petugas Instansi Lain,22:15,Cempaka Putih Timur,Cempaka Putih,Kota Administrasi Jakarta Pusat,Mobil,,Listrik,0,40000000
521,11,2,Senin,Bencana Kebakaran,Masyarakat,4:20,Jelambar baru,Grogol Petamburan,Kota Administrasi Jakarta Barat,Rumah Makan,Bangunan Rendah,Listrik,0,5750000
522,11,2,Senin,Bencana Kebakaran,Masyarakat,13:45,Kebon Jeruk,Kebun Jeruk,Kota Administrasi Jakarta Barat,Tiang Listrik,,Listrik,0,2000000
523,11,2,Senin,Bencana Kebakaran,Petugas Instansi Lain,16:00,Tangerang,Tangerang,Kota Tangerang,Gudang,Bangunan Menengah,Listrik,,1000000000
525,12,2,Selasa,Bencana Kebakaran,Masyarakat,17:20,Pluit,Penjaringan,Kota Administrasi Jakarta Utara,Warung Nasi,Bangunan Rendah,Listrik,0,20000000
526,13,2,Rabu,Bencana Kebakaran,Masyarakat,13:15,Kwitang,Senen,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,15,750000000
527,13,2,Rabu,Bencana Kebakaran,Masyarakat,16:30,Depok,Depok,Kota Depok,Gudang,Bangunan Rendah,Lain,,300000000
528,13,2,Rabu,Bencana Kebakaran,Masyarakat,18:20,Pademangan Timur,Pademangan,Kota Administrasi Jakarta Utara,PT. Mutanic Indovat,Bangunan Rendah,Listrik,0,20000000000
529,13,2,Rabu,Bencana Kebakaran,Petugas Instansi Lain,22:28,Bukit Duri,Tebet,Kota Administrasi Jakarta Selatan,Kulkas,Bangunan Rendah,Lain,5,2000000
530,13,2,Rabu,Bencana Kebakaran,Masyarakat,21:28,Tangerang,Tangerang,Kota Tangerang,Korsleting saklar,Bangunan Rendah,Listrik,3,600000000
531,15,2,Jumat,Bencana Kebakaran,Masyarakat,1:10,Bekasi,Bekasi,Kota Bekasi,Rumah Tinggal,Bangunan Rendah,Listrik,20,500000000
532,15,2,Jumat,Bencana Kebakaran,Petugas Pemadam,8:55,Bali Mester,Jatinegara,Kota Administrasi Jakarta Timur,PT .Kwintang LT 2,Bangunan Rendah,Listrik,0,10000000
533,15,2,Jumat,Bencana Kebakaran,Masyarakat,17:00,Karet Tengsin,Tanah Abang,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Kompor,25,10000000
534,16,2,Sabtu,Bencana Kebakaran,Masyarakat,4:47,Tebet Timur,Tebet,Kota Administrasi Jakarta Selatan,Dispenser dan kulkas,,Listrik,2,5000000
535,17,2,Minggu,Bencana Kebakaran,Masyarakat,0:25,Kapuk,Cengkareng,Kota Administrasi Jakarta Barat,Rumah Tinggal semi permanen,Bangunan Rendah,Listrik,50,30000000
538,17,2,Minggu,Bencana Kebakaran,Masyarakat,21:21,Pegadungan,Kalideres,Kota Administrasi Jakarta Barat,Gardu listrik,Bangunan Rendah,Listrik,1,250000000
539,18,2,Senin,Bencana Kebakaran,Masyarakat,11:05,Duri Kepa,Kebun Jeruk,Kota Administrasi Jakarta Barat,Warung Nasi Padang,Bangunan Rendah,Kompor,0,50000000
540,18,2,Senin,Bencana Kebakaran,Masyarakat,18:00,Pluit,Penjaringan,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Lain,0,5000000
541,19,2,Selasa,Bencana Kebakaran,Masyarakat,12:25,Cipinang Cimpedak,Jatinegara,Kota Administrasi Jakarta Timur,Gardu listrik,Bangunan Rendah,Listrik,0,10000000
543,19,2,Selasa,Bencana Kebakaran,Masyarakat,12:15,Tangerang,Tangerang,Kota Tangerang,Toko Gypsum,Bangunan Rendah,Listrik,,10000000
545,20,2,Rabu,Bencana Kebakaran,Petugas Instansi Lain,11:10,Rawa Buaya,Cengkareng,Kota Administrasi Jakarta Barat,Pabrik Pengolahan Kayu,Bangunan Rendah,Lain,0,20000000
547,20,2,Rabu,Bencana Kebakaran,Masyarakat,15:15,Petogogan,Kebayoran Baru,Kota Administrasi Jakarta Selatan,Panel Listrik Restoran,,Listrik,0,1000000
549,21,2,Kamis,Bencana Kebakaran,Masyarakat,0:05,Menteng Dalam,Tebet,Kota Administrasi Jakarta Selatan,Rumah Kosan,Bangunan Rendah,Listrik,0,100000000
550,21,2,Kamis,Bencana Kebakaran,Masyarakat,17:20,Kebon Bawang,Tanjung Priok,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,0,5000000
551,22,2,Jumat,Bencana Kebakaran,Masyarakat,9:30,Cipete Utara,Kebayoran Baru,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,6,900000000
552,22,2,Jumat,Bencana Kebakaran,Masyarakat,18:40,Sunter Agung,Tanjung Priok,Kota Administrasi Jakarta Utara,Toko Alat- alat Olah Raga,Bangunan Menengah,Listrik,0,2000000000
554,24,2,Minggu,Bencana Kebakaran,Petugas Pemadam,8:50,Pademangan Barat,Pademangan,Kota Administrasi Jakarta Utara,Rumah Petakan,Bangunan Rendah,Listrik,12,700000000
555,25,2,Senin,Bencana Kebakaran,Petugas Pemadam,19:02,Ciganjur,Jagakarsa,Kota Administrasi Jakarta Selatan,Kabel Listrik PLN,Bangunan Rendah,Listrik,0,2000000
556,26,2,Selasa,Bencana Kebakaran,Masyarakat,17:40,Kampung Bali,Tanah Abang,Kota Administrasi Jakarta Pusat,Gedung BPPT,Bangunan Tinggi,Rokok,0,5000000
557,26,2,Selasa,Bencana Kebakaran,Masyarakat,23:55,Kampung Tengah,Kramat Jati,Kota Administrasi Jakarta Timur,Pasar Induk,Bangunan Rendah,Lain,0,1300000000
560,28,2,Kamis,Bencana Kebakaran,Masyarakat,3:30,Cipayung,Cipayung,Kota Administrasi Jakarta Timur,Gudang Kasur,Bangunan Rendah,Listrik,6,100000000
561,28,2,Kamis,Bencana Kebakaran,Masyarakat,8:00,Pasar Minggu,Pasar Minggu,Kota Administrasi Jakarta Selatan,Bedeng,Bangunan Rendah,Listrik,0,50000000
562,28,2,Kamis,Bencana Kebakaran,Masyarakat,14:15,Srengseng Sawah,Jagakarsa,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Kompor,7,160000000
563,28,2,Kamis,Bencana Kebakaran,Masyarakat,16:50,Pasar Baru,Sawah Besar,Kota Administrasi Jakarta Pusat,Ruang Kompresor Listrik,Bangunan Menengah,Listrik,0,3000000
565,1,3,Jumat,Bencana Kebakaran,Petugas Instansi Lain,3:05,Cawang,Kramat Jati,Kota Administrasi Jakarta Timur,Mobil Honda Accord B 1548 HD,,Listrik,0,180000000
566,1,3,Jumat,Bencana Kebakaran,Masyarakat,23:30,PAL Meriam,Matraman,Kota Administrasi Jakarta Timur,Pasar,Bangunan Rendah,Listrik,0,10000000
567,2,3,Sabtu,Bencana Kebakaran,Masyarakat,0:30,Cengkareng Barat,Cengkareng,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,16,160000000
568,2,3,Sabtu,Bencana Kebakaran,Masyarakat,16:00,Halim Perdana Kusuma,Makasar,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,20,750000000
569,3,3,Minggu,Bencana Kebakaran,Masyarakat,18:40,Sungai Bambu,Tanjung Priok,Kota Administrasi Jakarta Utara,Mobil,,Listrik,0,20000000
571,3,3,Minggu,Bencana Kebakaran,Petugas Instansi Lain,18:45,Tangki,Tamansari,Kota Administrasi Jakarta Barat,Ruko 5 Lantai,Bangunan Menengah,Listrik,0,50000000
572,4,3,Senin,Bencana Kebakaran,Masyarakat,9:30,Kebayoran Lama Selatan,Kebayoran Lama,Kota Administrasi Jakarta Selatan,AC oyt door Gedung Pesona,,Listrik,0,5000000
573,4,3,Senin,Bencana Kebakaran,Masyarakat,14:30,Tanah Tinggi,Johar Baru,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Lain,50,1300000000
574,4,3,Senin,Bencana Kebakaran,Masyarakat,14:55,Menteng,Menteng,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Lain,4,5000000
577,6,3,Rabu,Bencana Kebakaran,Masyarakat,11:25,Pondok Labu,Cilandak,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Kompor,6,84000000
578,6,3,Rabu,Bencana Kebakaran,Masyarakat,12:13,Cempaka Putih Barat,Cempaka Putih,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,6,30000000
580,7,3,Kamis,Bencana Kebakaran,Masyarakat,5:30,Pulo Gebang,Cakung,Kota Administrasi Jakarta Timur,Tungku (Dapur Pabrik Tahu),Bangunan Rendah,Kompor,0,5000000
581,7,3,Kamis,Bencana Kebakaran,Masyarakat,12:30,Pejagalan,Penjaringan,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,78,800000000
582,7,3,Kamis,Bencana Kebakaran,Petugas Instansi Lain,13:30,Cakung Barat,Cakung,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Kompor,4,60000000
585,9,3,Sabtu,Bencana Kebakaran,Masyarakat,3:45,Setu,Cipayung,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,4,350000000
586,9,3,Sabtu,Bencana Kebakaran,Petugas Pemadam,8:18,Cideng,Gambir,Kota Administrasi Jakarta Pusat,Kendaraan,,Listrik,0,1000000
587,10,3,Minggu,Bencana Kebakaran,Masyarakat,11:05,Bidara Cina,Jatinegara,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,4,50000000
588,10,3,Minggu,Bencana Kebakaran,Petugas Instansi Lain,7:40,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,9,50000000
